요소_id,indicator_id,country_iso3,record_key,name,record_type,year,date,status,description,amount_value,amount_currency,org,region_tags,tech_id,link,record_source_url,missing_reason_code,note,source_record
D-020,D-020_project_registry,VNM,FP071,Scaling Up Energy Efficiency for Industrial Enterprises in Vietnam,,,,Under implementation,산업 에너지효율 투자 보증 + 기술지원 + 전용 신용공여. 기간은 raw 60개월 / 페이지 15년으로 원문 불일치,86300000,USD,International Bank for Reconstruction and Development and International Development Association (World Bank),,17,,,,,v124-d-020-entity-00001
D-020,D-020_project_registry,VNM,FP250,Achieving emission reduction in the Central Highlands and South Central Coast of Viet Nam to support National REDD+ Action Programme goals (RECAF),,,,Under implementation,"사업기간 2026-02-26~2032-02-26. 농림복합 145,000ha 개선, 위협 산림 500,000ha 산림전용 압력 완화",35000000,USD,International Fund for Agricultural Development (IFAD),,23,,,,,v124-d-020-entity-00002
D-020,D-020_project_registry,VNM,FP294,Vietnam REDD-plus results-based payments for results period of 2014,,,,Approved,"2014년 검증 감축실적 기반 성과기반지불(RBP). 대상 6개 성(Phu Tho, Son La, Dien Bien, Lai Chau, Lao Cai, Tuyen Quang)",71955000,USD,Japan International Cooperation Agency (JICA),,23,,,,,v124-d-020-entity-00003
D-020,D-020_project_registry,VNM,SAP040,Climate Adaptation and Resilience in Thua Thien Hue Province Vietnam (CARe Hue),,,,Under implementation,간소화 승인절차(SAP). 사업기간 2024-07-18~2029-12-17(약 65개월)로 raw의 60개월과 원문 불일치,8650000,USD,Agence luxembourgeoise pour la Coopération au Développement (LuxDev),,33,,,,,v124-d-020-entity-00004
D-020,D-020_project_registry,VNM,FP013,Improving the resilience of vulnerable coastal communities to climate change related impacts in Viet Nam,,,,Completed (완료 2024-07-11),"내풍·내수해 주택(최대 20,000명 대상), 맹그로브 4,000ha 복원, 28개 연안 성(省) 기후리스크 평가",29523000,USD,United Nations Development Programme (UNDP),,33,,,,,v124-d-020-entity-00005
C-009,C-009_law_name_vanban_chinhphu,VNM,72/2020/QH14,환경보호법,,2022,,,Law on Environmental Protection 72/2020/QH14,,,,,,https://vanban.chinhphu.vn/?classid=1&docid=216543&orggroupid=1&pageid=27160,,,2020-11-17 국회 통과(제14기 제10차 회기). §91 GHG 감축·§139 국내 탄소시장 근거. Luật 146/2025/QH15(공포 2025-12-11 · 시행 2026-01-01)로 ĐTM·환경허가 조항 등 37개 항이 개정되었으나 §91·§139는 개정 대상이 아니어서 본 데이터셋이 인용한 근거 조항에는 영향 없음. 법률 자체는 시행중.,v124-c-009-entity-00041
C-009,C-009_law_name_vanban_chinhphu,VNM,61/2024/QH15,전력법 61/2024/QH15,,2025,,,Electricity Law 61/2024/QH15,,,,,24,https://vanban.chinhphu.vn/?pageid=27160&docid=212489&classid=1&orggroupid=1,,,2024-11-30 제정·2025-02-01 시행. 9장 81개조. 舊 28/2004/QH11 대체. 재생에너지·해상풍력 인센티브·원자력 포함,v124-c-009-entity-00055
C-009,C-009_law_name_vanban_chinhphu,VNM,119/2025/NĐ-CP,Decree 119/2025/NĐ-CP,,2025,,,Decree 119/2025/NĐ-CP — 파일럿 배출권거래제(ETS) 규칙,,,,,,https://vanban.chinhphu.vn/?pageid=27160&docid=213875,,,2025-06-09 공포·2025-08-01 시행. GHG 배출권 할당 조항 신설·개정,v124-c-009-entity-00034
C-009,C-009_effective_year_climatelaws,VNM,,Decree 06/2022/NĐ-CP,,2022,2022-01-07,,시행(발효)일,,,,,,https://climate-laws.org/document/decree-no-06-2022-nd-cp-on-mitigation-of-green-house-gas-ghg-emissions-and-protection-of-ozone-layer_d8ff,,,,v124-c-009-entity-00001
C-009,C-009_effective_year_climatelaws,VNM,,Decision 232/QĐ-TTg,,2025,2025-01-24,,시행(발효)일,,,,,,https://climate-laws.org/document/decision-no-232-qd-ttg_4679,,,,v124-c-009-entity-00002
