elementId,publicTitle,assignedPrimaryRenderer,firstVisibleAnalysis,secondaryVisualization,rawOrEntityListPosition,measureCount,measures,dimensionCount,dimensions,units,yearRange,selectors,interpretation,mapLinkage,runtimeReviewResult,runtimeVerified
A-001,부패인식지수(CPI),score-trend,핵심 지표와 추세,접힌 원자료 표,"분석·유의사항 뒤, 출처·다운로드와 함께 제공",8,CPI 산출 원천 수 | CPI 순위 | CPI 순위(구 척도) | CPI 신뢰구간 상한 | CPI 신뢰구간 하한 | CPI 점수 | CPI 점수(구 척도) | CPI 표준오차,3,분류 | 세부 분류 | 연도,건 | 위 | 점,1997–2025,측정항목 | 세부 분류 | 연도,covered,false,verified-in-production-dom,true
A-002,국가 정책·제도 평가(CPIA),score-trend,2005~2015년 정책·제도 역량 추이,접힌 원자료 표,"분석·유의사항 뒤, 출처·다운로드와 함께 제공",21,CPIA A. 경제관리 클러스터 평균 | CPIA B. 구조정책 클러스터 평균 | CPIA C. 사회적 포용 | CPIA D. 공공부문 관리 | CPIA IRAI 종합점수 | CPIA 공공부문 투명성 | CPIA 공공재원 배분의 형평성 | CPIA 공공행정의 질 | CPIA 금융부문 | CPIA 기업규제 환경 | CPIA 무역 | CPIA 부채 정책 | CPIA 사회보호 | CPIA 성평등 | CPIA 세입동원 효율성 | CPIA 예산 | CPIA 인적자원 형성 | CPIA 재산권 | CPIA 재정 정책 | CPIA 통화 | CPIA 환경지속가능성 정책,3,분류 | 세부 분류 | 연도,점,2005–2024,측정항목 | 분류 | 연도,covered,false,verified-in-production-dom,true
A-003,국내총생산 및 경제성장,multi-metric-trend,복수 측정항목 추세,접힌 원자료 표,"분석·유의사항 뒤, 출처·다운로드와 함께 제공",7,1인당 GDP | 1인당 GDP | 1인당 GDP 성장률 | GDP 성장률 | GDP 총액 | GDP 총액 | GNI 총액,3,분류 | 세부 분류 | 연도,USD | 국제달러 | %,1985–2025,측정항목 | 분류 | 세부 분류 | 연도,not-required,false,verified-in-production-dom,true
A-004,빈곤율 및 극빈곤율,kpi-trend,핵심 지표와 추세,접힌 원자료 표,"분석·유의사항 뒤, 출처·다운로드와 함께 제공",2,극빈곤율 | 빈곤율,3,분류 | 세부 분류 | 연도,%,1992–2022,측정항목 | 분류 | 세부 분류 | 연도,not-required,false,verified-in-production-dom,true
A-005,산업구조,composition-trend,연도별 구성 변화,선택연도 구성 상세,"분석·유의사항 뒤, 출처·다운로드와 함께 제공",1,산업구조,3,분류 | 세부 분류 | 연도,%,1986–2025,분류 | 세부 분류 | 연도,not-required,false,verified-in-production-dom,true
A-006,고용 및 실업,kpi-trend,핵심 지표와 추세,접힌 원자료 표,"분석·유의사항 뒤, 출처·다운로드와 함께 제공",2,전체 실업률 | 청년 실업률,3,분류 | 세부 분류 | 연도,%,1991–2025,측정항목 | 분류 | 세부 분류 | 연도,not-required,false,verified-in-production-dom,true
A-007,인구 및 도시화,kpi-trend,핵심 지표와 추세,접힌 원자료 표,"분석·유의사항 뒤, 출처·다운로드와 함께 제공",4,도시인구 | 도시인구 증가율 | 도시화율 | 총인구,2,세부 분류 | 연도,명 | %,1960–2025,측정항목 | 세부 분류 | 연도,not-required,false,verified-in-production-dom,true
A-008,소득 불평등(지니계수),score-trend,핵심 지표와 추세,접힌 원자료 표,"분석·유의사항 뒤, 출처·다운로드와 함께 제공",1,지니계수,2,세부 분류 | 연도,지수,1992–2022,연도,covered,false,verified-in-production-dom,true
A-009,온실가스 배출집약도,kpi-trend,핵심 지표와 추세,접힌 원자료 표,"분석·유의사항 뒤, 출처·다운로드와 함께 제공",2,GHG 배출 강도 | GHG 배출 강도,3,분류 | 세부 분류 | 연도,"tCO2eq/1,000 국제달러 | tCO2eq/인",1970–2024,측정항목 | 분류 | 세부 분류 | 연도,not-required,false,verified-in-production-dom,true
A-010,온실가스 종류별 배출량,stacked-emissions,배출량 변화와 구성,최신연도 구성 상세,"분석·유의사항 뒤, 출처·다운로드와 함께 제공",2,가스별 배출량 | 가스별 배출량,3,분류 | 세부 분류 | 연도,Gg | Mt CO2eq,1970–2024,측정항목 | 분류 | 세부 분류 | 연도,not-required,false,verified-in-production-dom,true
A-011,부문별 온실가스 배출량,stacked-emissions,배출량 변화와 구성,최신연도 구성 상세,"분석·유의사항 뒤, 출처·다운로드와 함께 제공",1,부문별 배출량,3,분류 | 세부 분류 | 연도,Mt CO2eq,1970–2024,분류 | 세부 분류 | 연도,not-required,false,verified-in-production-dom,true
A-012,온실가스 총배출량,kpi-trend,핵심 지표와 추세,접힌 원자료 표,"분석·유의사항 뒤, 출처·다운로드와 함께 제공",3,LULUCF 순플럭스 | 순 GHG 배출량 | 총 GHG 배출량,3,분류 | 세부 분류 | 연도,Mt CO2eq,1970–2024,측정항목 | 분류 | 세부 분류 | 연도,not-required,false,verified-in-production-dom,true
A-013,NDC와 지속가능발전목표 연계,evidence-matrix,근거 매트릭스,접힌 원자료 표,"분석·유의사항 뒤, 출처·다운로드와 함께 제공",2,NDC-SDG 연계 | NDC-SDG 연계 목록,6,분류 | 세부 분류 | 레코드 유형 | status | typeOfInformation | 연도,건,2016–2016,측정항목 | 분류 | 세부 분류 | status | typeOfInformation,covered,false,verified-in-production-dom,true
A-014,지속가능발전목표 지수,score-trend,핵심 지표와 추세,접힌 원자료 표,"분석·유의사항 뒤, 출처·다운로드와 함께 제공",3,SDG Index 종합순위 | SDG Index 종합점수 | 목표별 달성도,3,분류 | 세부 분류 | 연도,위 | 점,2000–2025,측정항목 | 분류 | 세부 분류 | 연도,covered,false,verified-in-production-dom,true
A-015,지속가능발전목표 세부 달성도,evidence-matrix,근거 매트릭스,접힌 원자료 표,"분석·유의사항 뒤, 출처·다운로드와 함께 제공",17,SDG1 세부지표 달성도 | SDG10 세부지표 달성도 | SDG11 세부지표 달성도 | SDG12 세부지표 달성도 | SDG13 세부지표 달성도 | SDG14 세부지표 달성도 | SDG15 세부지표 달성도 | SDG16 세부지표 달성도 | SDG17 세부지표 달성도 | SDG2 세부지표 달성도 | SDG3 세부지표 달성도 | SDG4 세부지표 달성도 | SDG5 세부지표 달성도 | SDG6 세부지표 달성도 | SDG7 세부지표 달성도 | SDG8 세부지표 달성도 | SDG9 세부지표 달성도,4,분류 | 세부 분류 | detail_2 | 연도,점,2011–2026,측정항목 | 분류 | 세부 분류 | 연도,covered,false,verified-in-production-dom,true
A-016,1차 에너지 소비구조,composition-trend,연도별 에너지원 절대량 변화,100% 구성비 추이와 선택연도 상세,"분석·유의사항 뒤, 출처·다운로드와 함께 제공",1,1차 에너지 소비,4,분류 | 세부 분류 | 기술 | 연도,EJ,1965–2025,분류 | 세부 분류 | 기술 | 연도,not-required,false,verified-in-production-dom,true
A-017,발전원별 균등화 발전비용,technology-comparison,범주 비교,접힌 원자료 표,"분석·유의사항 뒤, 출처·다운로드와 함께 제공",1,LCOE,4,분류 | 세부 분류 | 기술 | 연도,USD/MWh,2023–2050,분류 | 기술 | 연도,not-required,false,verified-in-production-dom,true
A-018,발전설비 용량,composition-trend,연도별 구성 변화,선택연도 구성 상세,"분석·유의사항 뒤, 출처·다운로드와 함께 제공",1,발전 설비용량,4,분류 | 세부 분류 | 기술 | 연도,MW,2000–2025,분류 | 기술 | 연도,not-required,false,verified-in-production-dom,true
A-019,송배전 손실률,kpi-trend,핵심 지표와 추세,접힌 원자료 표,"분석·유의사항 뒤, 출처·다운로드와 함께 제공",1,송배전 손실률,3,세부 분류 | 기술 | 연도,%,1990–2023,연도,not-required,false,verified-in-production-dom,true
A-020,재생에너지 비중,kpi-trend,핵심 지표와 추세,접힌 원자료 표,"분석·유의사항 뒤, 출처·다운로드와 함께 제공",1,재생에너지 비중,4,분류 | 세부 분류 | 기술 | 연도,%,2000–2025,분류 | 연도,not-required,false,verified-in-production-dom,true
A-021,전력 접근률,kpi-trend,핵심 지표와 추세,접힌 원자료 표,"분석·유의사항 뒤, 출처·다운로드와 함께 제공",1,전력 접근률,4,분류 | 세부 분류 | 기술 | 연도,%,1997–2024,분류 | 연도,not-required,false,verified-in-production-dom,true
A-022,정전 빈도와 지속시간,kpi-trend,핵심 지표와 추세,접힌 원자료 표,"분석·유의사항 뒤, 출처·다운로드와 함께 제공",3,MAIFI | SAIDI | SAIFI,4,분류 | 세부 분류 | 기술 | 연도,회/고객 | 분/고객,2015–2026,측정항목 | 분류 | 세부 분류 | 연도,not-required,false,verified-in-production-dom,true
A-023,발전소 현황,spatial-analysis,복수 측정항목 추세,지역 선택 상세와 원자료 표,"분석·유의사항 뒤, 출처·다운로드와 함께 제공",1,발전소 목록,5,capacityBand | commissioningYear | 레코드 유형 | fuelType | fuelTypeRaw,MW,null–null,capacityBand | commissioningYear | fuelType | fuelTypeRaw,not-required,true,verified-in-production-dom,true
A-024,베트남 송전망,spatial-analysis,복수 측정항목 추세,지역 선택 상세와 원자료 표,"분석·유의사항 뒤, 출처·다운로드와 함께 제공",2,미공급 지역 | 송전망 선로 목록,5,분류 | 세부 분류 | 레코드 유형 | 기술 | 연도,% | kV,2015–2024,측정항목 | 분류 | 세부 분류 | 연도,not-required,true,verified-in-production-dom,true
A-025,탄소포집·저장 시설,spatial-analysis,복수 측정항목 추세,지역 선택 상세와 원자료 표,"분석·유의사항 뒤, 출처·다운로드와 함께 제공",2,CCS 시설 목록 | 상용 가동 CCS 시설 수,7,세부 분류 | 레코드 유형 | facilityType | status | 기술 | type | 연도,건,2026–2026,측정항목 | facilityType | status | type,not-required,false,verified-in-production-dom,true
A-026,건물 분포,spatial-analysis,복수 측정항목 추세,지역 선택 상세와 원자료 표,"분석·유의사항 뒤, 출처·다운로드와 함께 제공",4,건물 풋프린트 레이어 | 건물 풋프린트 레이어 | 건물 풋프린트 레이어 | 건물 풋프린트 레이어,4,분류 | 세부 분류 | 기술 | 연도,% | EPSG 코드 | 개 | 건,2026–2026,측정항목 | 분류 | 세부 분류,not-required,false,verified-in-production-dom,true
A-027,육상교통 인프라,spatial-analysis,복수 측정항목 추세,지역 선택 상세와 원자료 표,"분석·유의사항 뒤, 출처·다운로드와 함께 제공",8,도로 레이어 | 도로 레이어 | 도로 레이어 | 도로 레이어 | 철도 레이어 | 철도 레이어 | 철도 레이어 | 철도 레이어,4,분류 | 세부 분류 | 기술 | 연도,% | EPSG 코드 | 개 | 건,2026–2026,측정항목 | 분류 | 세부 분류,not-required,false,verified-in-production-dom,true
