요소_id,indicator_id,country_iso3,year,period,value,missing_reason_code,note,category,scenario,tech_id,bound,value_kind,source_record
A-001,A-001_cpi_score,VNM,2012,,31,,[베트남] Transparency International 「CPI score」 기준. 0~100 점수. 값이 클수록 청렴. 38대 기후기술을 특정하지 않는 배경·여건 지표이므로 매핑하지 않음(tech_ids=해당없음).,,,,,,v124-a-001-obs-00058
A-001,A-001_cpi_score,VNM,2013,,31,,[베트남] Transparency International 「CPI score」 기준. 0~100 점수. 값이 클수록 청렴. 38대 기후기술을 특정하지 않는 배경·여건 지표이므로 매핑하지 않음(tech_ids=해당없음).,,,,,,v124-a-001-obs-00059
A-001,A-001_cpi_score,VNM,2014,,31,,[베트남] Transparency International 「CPI score」 기준. 0~100 점수. 값이 클수록 청렴. 38대 기후기술을 특정하지 않는 배경·여건 지표이므로 매핑하지 않음(tech_ids=해당없음).,,,,,,v124-a-001-obs-00060
A-001,A-001_cpi_score,VNM,2015,,31,,[베트남] Transparency International 「CPI score」 기준. 0~100 점수. 값이 클수록 청렴. 38대 기후기술을 특정하지 않는 배경·여건 지표이므로 매핑하지 않음(tech_ids=해당없음).,,,,,,v124-a-001-obs-00061
A-001,A-001_cpi_score,VNM,2016,,33,,[베트남] Transparency International 「CPI score」 기준. 0~100 점수. 값이 클수록 청렴. 38대 기후기술을 특정하지 않는 배경·여건 지표이므로 매핑하지 않음(tech_ids=해당없음).,,,,,,v124-a-001-obs-00062
D-004,D-004_capex_recovery_biomass_high,VNM,2026,,24.4,,"[바이오에너지 기술 · 고 시나리오] 크레딧 단가 26.0 USD/tCO2(고품질 제거·ARR 크레딧 가격). 연간 감축량 1,125 tCO2/년·MW → 연간 크레딧 수익 29,250 USD/년·MW, 20년 누적 585,000 USD → 단위 CAPEX 2,400,000 USD/MW 대비 회수율.",,high,08,,,v124-d-004-obs-00001
D-004,D-004_capex_recovery_biomass_low,VNM,2026,,2.8,,"[바이오에너지 기술 · 저 시나리오] 크레딧 단가 3.02 USD/tCO2(재생에너지 크레딧(ICVCM CCP 미적격 다수) 실거래 평균가). 연간 감축량 1,125 tCO2/년·MW → 연간 크레딧 수익 3,398 USD/년·MW, 20년 누적 67,950 USD → 단위 CAPEX 2,400,000 USD/MW 대비 회수율.",,low,08,,,v124-d-004-obs-00002
D-004,D-004_capex_recovery_biomass_mid,VNM,2026,,13.9,,"[바이오에너지 기술 · 중 시나리오] 크레딧 단가 14.8 USD/tCO2(고등급(A~AAA) 크레딧 가격). 연간 감축량 1,125 tCO2/년·MW → 연간 크레딧 수익 16,650 USD/년·MW, 20년 누적 333,000 USD → 단위 CAPEX 2,400,000 USD/MW 대비 회수율.",,mid,08,,,v124-d-004-obs-00003
D-004,D-004_capex_recovery_hydro_large_high,VNM,2026,,104.9,,"[수력 기술(대수력 >50MW) · 고 시나리오] 크레딧 단가 26.0 USD/tCO2(고품질 제거·ARR 크레딧 가격). 연간 감축량 2,332 tCO2/년·MW → 연간 크레딧 수익 60,632 USD/년·MW, 20년 누적 1,212,640 USD → 단위 CAPEX 1,156,000 USD/MW 대비 회수율.",,high,05,,,v124-d-004-obs-00004
D-004,D-004_capex_recovery_hydro_large_low,VNM,2026,,12.2,,"[수력 기술(대수력 >50MW) · 저 시나리오] 크레딧 단가 3.02 USD/tCO2(재생에너지 크레딧(ICVCM CCP 미적격 다수) 실거래 평균가). 연간 감축량 2,332 tCO2/년·MW → 연간 크레딧 수익 7,043 USD/년·MW, 20년 누적 140,853 USD → 단위 CAPEX 1,156,000 USD/MW 대비 회수율.",,low,05,,,v124-d-004-obs-00005
