문제ID,대상,문제,재현순서,실제결과,기대결과,근거,배포미반영여부,중요도,캡처,parentFindingId,원인그룹,정정이력
LQA-001,A-017,기술 선택창의 선택지와 표시값이 모두 원천 숫자코드다(한글 표시명 없음),1) https://nigtldcmap.vercel.app/?view=data&country=VNM&element=A-017#element-detail 접속 2) 필터 행의 세 선택창을 각각 읽기(분류 / 기술 / 연도) 3) 기술 선택창을 좌표 클릭으로 펼쳐 선택지 확인 4) Down 1회씩 이동하며 표시값·URL·차트 결과 기록,"기술 선택창의 선택지가 전체 / 1 / 1,24 / 3 / 3,24 / 16 의 6개이며 모두 숫자코드다. 펼친 상태에서도 한글 표시명이 없고, 선택 후 접힌 표시값도 같은 코드다. 사용자는 1이 태양광인지 16이 화력인지 알 수 없다. URL은 dim.technology=<코드>.",기술 선택창의 선택지와 표시값에 상위 기술분류의 한글 표시명(태양광 / 태양광+저장 / 풍력 / 풍력+저장 / 화력 등)을 사용해야 한다,같은 화면의 분류 선택창(dim.category)은 24개 한글 표시명을 선택지와 표시값에 모두 정상 사용하므로 플랫폼이 한글 표시명을 넣을 수 없는 구조는 아니다. 상세 데이터 표의 지역·성별·기술·시나리오 열도 같은 코드 16을 노출한다.,LIVE_DEFECT_NOT_YET_FIXED,P1,"screenshots/a017-tech-3-24-filter-zoom.png, screenshots/a017-tech-3-filter-zoom.png, screenshots/a017-detail-table-rawcode-16-958x918.jpg, screenshots/a017-category-korean-label-zoom.png",,G1 원천코드 노출,"2026-09-08 정정: 최초 기록은 ""펼치면 한글 24종, 접으면 숫자""로 적었으나 오독이었다. 한글 24종은 분류 선택창(ref_8, dim.category)이고 숫자코드는 별개의 기술 선택창(ref_9, dim.technology)이다. 두 선택창을 같은 컨트롤의 상태 차이로 해석한 것을 정정한다. 결함 자체(코드 노출)는 유지."
LQA-002,A-017,[정정됨/결함 아님] 기술 코드가 상위 기술분류이며 필터 결과 범위는 원천 분류와 일치한다,"1) A-017 기술 선택창에서 1 / 1,24 / 3 / 3,24 / 16 을 차례로 선택 2) 각 상태의 차트 계열 기록","코드 1=태양광+수상 태양광, 1,24=태양광+배터리(4시간), 3=육상풍력+해상풍력, 3,24=육상풍력+배터리(4시간), 16=가스복합화력(CCGT)+석탄화력. 5개 코드가 8개 기술을 2+1+2+1+2로 빠짐없이 분할한다.",상위 기술분류 필터로서 정상 동작. 코드 3이 육상·해상풍력을 함께 반환하는 것은 풍력 분류로서 옳다,"5개 코드의 반환 계열을 모두 실제 선택해 확인한 결과 중복·누락 없이 8개 기술을 분할한다. 따라서 선택지 라벨과 결과 범위의 불일치는 존재하지 않으며, 남는 문제는 분류명이 코드로만 표시되는 것(LQA-001)뿐이다.",NO_ISSUE_IN_REVIEWED_STATE,-,"screenshots/a017-tech-3-chart-6rows-958x918.jpg, screenshots/a017-default-chart-24rows-958x918.jpg",,,"2026-09-08 정정: 최초에 ""선택지 라벨과 결과 범위 불일치""로 P1 결함 기록했으나 오판이었다. 5개 코드를 전수 확인한 결과 상위 기술분류이며 결과 범위가 맞다. 결함에서 제외하고 LQA-001로 흡수한다."
LQA-003,A-017,대표 KPI가 24행 구간값 중 첫 행을 전체 대표값처럼 표시한다,1) A-017 기본 상태 2) 상단 KPI 카드 확인,KPI 카드가 'LCOE 85 USD/MWh · 2050 · 가스복합화력(CCGT)(하한)'로 표시된다. 24개 행이 8개 기술의 하한·기준값·상한 구간값인데 그 중 첫 행이 측정치 이름을 달고 대표값처럼 보인다,구간값 분해행만 있고 합계·대표행이 없으면 단일 KPI를 생략하고 비교 차트가 답하도록 해야 한다,미병합 브랜치 커밋 574ef2a의 SemanticArchetypePreviewV125.tsx singleSubjectV136_4 도입으로 동일 증상이 이미 수정됨. 브랜치 기록 reports/v136/screen-review-record-v136-4.csv A-017 행에 '가스복합화력(하한) 85 USD/MWh가 전체 대표값처럼 표시'로 동일 기술,ALREADY_FIXED_UNDEPLOYED,P1,screenshots/a017-default-filters-kpi-958x918.jpg,,G5 첫 항목이 기본·대표값,
LQA-004,A-017,2030·2050 전망치를 관측기간으로 표기한다,1) A-017 기본 상태 2) '데이터 분석' 헤더 우측 메타 문구 확인 3) 상세 데이터 펼쳐 연도 열 확인,헤더에 '베트남 · 지표 24종 · 관측기간 2023~2050년'으로 표시된다. 상세 데이터의 연도는 2023 / 2030 / 2050 세 값이고 제공기관은 BloombergNEF이다. 2030·2050은 관측이 아니라 전망이다,전망 자료는 관측기간이 아니라 전망연도 또는 기준연도·전망연도로 구분 표기해야 한다,"상세 데이터 표에서 CCGT(하한) 2023=84, 2030=84, 2050=85로 미래연도 값이 존재. 원천은 BloombergNEF LCOE 전망",LIVE_OBSERVATION_NEEDS_VERIFICATION,P1,"screenshots/a017-default-top-958x918.jpg, screenshots/a017-detail-table-rawcode-16-958x918.jpg",,G2 전망을 관측으로 표기,
LQA-005,A-017,상세 데이터 행수 표기가 기술 필터를 따르지 않는다,1) A-017 기본 상태에서 '상세 데이터' 접힘 머리글 확인 2) 기술 필터를 dim.technology=3으로 변경 3) 같은 머리글 재확인,두 상태 모두 '상세 데이터 · 전체 72행 · 값 있음 72행 · 결측 0행'으로 동일하다. 같은 화면에서 위 차트는 24행에서 6행으로 줄어드는데 아래 행수는 그대로다,"필터가 상세 데이터에 적용되지 않는 설계라면 '필터와 무관한 전체 원천 행'임을 명시해야 하고, 적용되는 설계라면 행수도 함께 줄어야 한다",72행 = 24개 측정 x 3개 연도(2023/2030/2050). 필터 적용 상태에서도 72행 유지,LIVE_OBSERVATION_NEEDS_VERIFICATION,P2,"screenshots/a017-default-rowcount-72-958x918.jpg, screenshots/a017-tech-3-chart-6rows-958x918.jpg",,G4 필터 적용범위 불일치,
LQA-006,A-017,상세 데이터의 차원 열 머리글이 네 가지를 합쳐 놓아 값의 의미를 알 수 없다,1) A-017 상세 데이터 펼침 2) 세 번째 열 머리글과 값 확인,"열 머리글이 '지역·성별·기술·시나리오'이고 값은 '16'이다. 사용자는 16이 지역인지 기술인지 시나리오인지 알 수 없고, 16이라는 코드의 뜻도 알 수 없다","해당 데이터에 실제로 존재하는 차원만 열로 제시하고, 코드가 아니라 표시명을 넣어야 한다",LCOE 자료에는 성별·지역 차원이 없다. 그럼에도 네 차원을 합친 고정 머리글이 사용된다,LIVE_DEFECT_NOT_YET_FIXED,P2,screenshots/a017-detail-table-rawcode-16-958x918.jpg,LQA-001,G1 원천코드 노출,
LQA-007,A-017,화면 소개 문구가 이 데이터와 무관한 사업·기관 구성 설명이다,1) A-017 상세 진입 2) 제목 아래 한 줄 확인,'베트남 · 발전원별 균등화 발전비용의 사업 규모와 분야·기관별 구성을 확인할 수 있습니다'로 표시된다. LCOE는 사업 규모도 기관별 구성도 아니다,이 데이터가 답하는 질문(기술별 발전비용 수준과 불확실성 구간 비교)을 서술해야 한다,화면에 사업·기관 관련 요소가 없고 차트는 기술별 USD/MWh 구간값뿐이다,LIVE_DEFECT_NOT_YET_FIXED,P2,screenshots/a017-default-top-958x918.jpg,,,
LQA-008,A-017,하한·기준값·상한이 구간이 아니라 서로 독립된 24개 막대로 표현된다,1) A-017 기본 상태 2) '항목별 값' 차트 확인,"8개 기술의 하한·기준값·상한이 각각 별개의 가로 막대 24개로 나열된다. 같은 기술의 세 값이 하나의 불확실성 구간임을 시각적으로 알 수 없고, 기술 간 비교도 24행을 눈으로 묶어야 가능하다","기술 8개를 축으로 두고 하한~상한을 구간(범위 막대)으로, 기준값을 점으로 표현하면 기술 비교와 불확실성을 동시에 읽을 수 있다","원천이 기술별 low/base/high 3값 구조임이 라벨과 값으로 확인된다(예: 태양광 18/21/25, 육상풍력 22/37/53)",LIVE_DEFECT_NOT_YET_FIXED,P2,screenshots/a017-default-chart-24rows-958x918.jpg,,,
LQA-009,도구제약,브라우저 확장이 페이지 내 JavaScript 실행을 차단하여 DOM 일괄 수집을 쓸 수 없다,1) javascript_tool로 document 질의 시도,[BLOCKED: Cookie/query string data] 반환. 우회하지 않고 read_page / get_page_text / 실제 포인터·키보드 조작으로만 검수 진행,해당 없음(도구 제약 기록),확장 보안 제한. 우회 금지 지침에 따라 우회 시도하지 않음,NO_ISSUE_IN_REVIEWED_STATE,-,-,,,
LQA-010,B-008,200개 조합이 지점·시나리오·분위수 선택 없이 하나의 긴 항목 목록으로만 제공된다,1) https://nigtldcmap.vercel.app/?view=data&country=VNM&element=B-008#element-detail 접속 2) 필터 영역 확인 3) 항목 셀렉트 펼쳐 선택지 확인,선택 컨트롤이 '항목'과 '연도' 두 개뿐이다. 항목 셀렉트 하나에 '상대해수면 Da Nang(중부 다낭) SSP1-1.9 17퍼센타일 · m' 형태의 200개 항목이 평면 나열된다. 지점·시나리오·분위수를 각각 고를 수 없어 '다낭의 시나리오별 비교'나 '전 지점 SSP2-4.5 중앙값 비교'를 만들 수 없다,지점(5) / 시나리오(5) / 분위수(5) / 변수(3)를 각각 선택하는 컨트롤로 분해해야 조합 탐색이 가능하다,"실제 목록 구조는 상대해수면 m 5지점x5시나리오x5분위수=125, 상승속도 mm/yr 5지점x5시나리오x중앙값=25, 상대해수면(저신뢰도) m 5지점x2시나리오x5분위수=50 으로 합계 200이며 헤더의 '지표 200종'과 일치한다",LIVE_DEFECT_NOT_YET_FIXED,P1,screenshots/b008-flat-selector-kpi-negative-958x918.jpg,,,
