route,surface,text,decision,replacement,reason
guide,BUTTON,개도국 기후기술 협력 플랫폼국가녹색기술연구소 · 기후기술 협력 데이터,KEEP,,states the data and its reading in reader-facing Korean
guide,BUTTON,데이터 찾기,KEEP,,states the data and its reading in reader-facing Korean
guide,BUTTON,데이터 지도,KEEP,,states the data and its reading in reader-facing Korean
guide,BUTTON,데이터 다운로드,KEEP,,states the data and its reading in reader-facing Korean
guide,BUTTON,⌕검색Ctrl K,KEEP,,states the data and its reading in reader-facing Korean
guide,H1,데이터 이용안내,KEEP,,states the data and its reading in reader-facing Korean
guide,P,"데이터 범위, 자료기간, 출처, 다운로드 및 지도 이용 시 참고사항을 안내합니다.",KEEP,,states the data and its reading in reader-facing Korean
guide,H2,조회순·최신순 안내,KEEP,,states the data and its reading in reader-facing Korean
guide,P,"홈의 조회순은 최근 30일간의 상세보기 열람을, 주요 지역 데이터는 데이터 지도에서 주 분석 자료로 선택한 횟수를 기준으로 합니다. 같은 브라우저 세션에서 30분 이내 반복한 열람은 한 번만 집계합니다.",KEEP,,states the data and its reading in reader-facing Korean
guide,P,최신순은 자료 파일이 플랫폼에 갱신된 날짜를 기준으로 합니다. 통계의 기준연도나 기후전망의 대상연도와는 다릅니다. 갱신일이 같은 자료는 데이터명 순으로 표시합니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,SUMMARY,이용 집계에 사용하는 정보,KEEP,,states the data and its reading in reader-facing Korean
guide,P,브라우저의 추적 금지(DNT) 또는 개인정보 보호 신호(GPC)가 활성화되어 있거나 세션 저장을 사용할 수 없으면 조회를 집계하지 않습니다. 서버 운영에 필요한 접속 로그는 이 조회 집계와 별도로 호스팅 서비스 정책을 따릅니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,BUTTON,조회순·최신순,KEEP,,states the data and its reading in reader-facing Korean
guide,BUTTON,제공 범위,KEEP,,states the data and its reading in reader-facing Korean
guide,BUTTON,데이터 상태,KEEP,,states the data and its reading in reader-facing Korean
guide,BUTTON,자료기간,KEEP,,states the data and its reading in reader-facing Korean
guide,BUTTON,결측값,KEEP,,states the data and its reading in reader-facing Korean
guide,BUTTON,다운로드,KEEP,,states the data and its reading in reader-facing Korean
guide,BUTTON,지도 이용,KEEP,,states the data and its reading in reader-facing Korean
guide,BUTTON,용어·약어,KEEP,,states the data and its reading in reader-facing Korean
guide,H2,데이터 제공 범위,KEEP,,states the data and its reading in reader-facing Korean
guide,P,"현재 베트남 데이터를 제공합니다. 정책·제도, 에너지, 온실가스, 산림·토지, 기후사업·재원, 연구·협력기관 자료를 데이터 항목 단위로 확인할 수 있습니다.",KEEP,,states the data and its reading in reader-facing Korean
guide,H2,데이터 상태의 의미,KEEP,,states the data and its reading in reader-facing Korean
guide,DT,데이터 제공,KEEP,,states the data and its reading in reader-facing Korean
guide,DT,일부 데이터 제공,KEEP,,states the data and its reading in reader-facing Korean
guide,DT,값이 없는 데이터,KEEP,,states the data and its reading in reader-facing Korean
guide,H2,자료기간의 의미,KEEP,,states the data and its reading in reader-facing Korean
guide,P,"기준연도는 해당 값이나 목록이 설명하는 시점을 뜻합니다. 여러 해의 값이 있는 데이터는 자료기간을 표시하고, 미래 연도가 있으면 전망임을 함께 적습니다. 자료 갱신일(출처 확인일)과 값의 기준연도는 서로 다를 수 있으며, 자료 정리 기준일을 모든 통계의 기준연도로 읽지 않습니다.",KEEP,,states the data and its reading in reader-facing Korean
guide,H2,결측값 처리원칙,KEEP,,states the data and its reading in reader-facing Korean
guide,P,"원천에 없는 값은 0으로 임의 대체하지 않습니다. 값이 제공되지 않은 기간·지역·분류는 빈 값 또는 결측으로 구분하고, 해석에 중요한 공백은 각 데이터의 유의사항에 설명합니다.",KEEP,,states the data and its reading in reader-facing Korean
guide,H2,다운로드 가능 여부,KEEP,,states the data and its reading in reader-facing Korean
guide,P,"다운로드 가능 표시는 재사용 가능한 공개 파일이 있다는 뜻입니다. 일부 데이터는 이용조건에 따라 화면에서만 제공하며, 실제 입력값이 없는 항목에는 다운로드 자료가 없습니다.",KEEP,,states the data and its reading in reader-facing Korean
guide,H2,출처·이용조건,KEEP,,states the data and its reading in reader-facing Korean
guide,P,"각 상세화면에서 제공기관, 공식 원문, 출처표시와 이용조건을 확인할 수 있습니다. 데이터를 재사용할 때에는 해당 항목에 표시된 출처와 이용조건을 함께 확인해 주세요.",KEEP,,states the data and its reading in reader-facing Korean
guide,H2,지도 이용 시 참고사항,KEEP,,states the data and its reading in reader-facing Korean
guide,P,지역별 자료는 개편 전 베트남 63개 성·시 경계를 기준으로 연결합니다. 결측 지역을 0으로 표시하지 않습니다. 송전망 위치는 국가 단위 분포 확인용이며 정밀 설계나 시설 경계 판정에는 적합하지 않습니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,H2,데이터 기준일,KEEP,,states the data and its reading in reader-facing Korean
guide,P,현재 공개된 데이터의 기준일은 2026.08.27입니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,H2,용어·약어,KEEP,,states the data and its reading in reader-facing Korean
guide,P,플랫폼의 개발협력·기후·에너지 용어와 단위를 한국어·영어 명칭과 함께 확인할 수 있습니다.,KEEP,,states the data and its reading in reader-facing Korean
guide,LABEL,용어 검색,KEEP,,states the data and its reading in reader-facing Korean
guide,P,온도와 온도 변화량을 나타내는 단위입니다.,KEEP,,states the data and its reading in reader-facing Korean
