elementId,publicTitle,category,group,sourceWorkbookExists,packageStatus,dataPresenceStatus,publicStatus,observationRows,populatedObservationRows,missingObservationRows,entityRows,populatedEntityRows,publicPopulatedRows,displayAllowed,downloadAllowed,downloadableRecordCount,downloadRestrictionReason,visualizationRenderer,visualizationStatus,mapMode,mapFeatureCount,sourceOrganizations,sourceReferencePeriod,lastPopulatedYear,limitationCount,userFacingStatus,finalDisposition,acceptanceResult
A-001,부패인식지수(CPI),A · 국가 기본 정보,A.1.a · 사회·경제 현황,true,provided,actual-records,actual,114,114,0,0,0,114,true,false,0,원자료 이용조건에 따라 화면 열람만 제공,score-benchmark,archetype,country-aggregate,0,Transparency International,2011~2025,2025,0,데이터 제공,populated-and-released,PASS
A-002,국가 정책·제도 평가(CPIA),A · 국가 기본 정보,A.1.a · 사회·경제 현황,true,provided,actual-records,actual,420,231,189,0,0,231,true,true,420,,score-benchmark,archetype,country-aggregate,0,World Bank,2015,2015,3,데이터 제공,populated-and-released,PASS
A-003,국내총생산 및 경제성장,A · 국가 기본 정보,A.1.a · 사회·경제 현황,true,provided,actual-records,actual,272,272,0,0,0,272,true,true,272,,kpi-trend,archetype,country-aggregate,0,World Bank,2025,2025,0,데이터 제공,populated-and-released,PASS
A-004,빈곤율 및 극빈곤율,A · 국가 기본 정보,A.1.a · 사회·경제 현황,true,provided,actual-records,actual,62,29,33,0,0,29,true,true,62,,kpi-trend,archetype,country-aggregate,0,World Bank,2022,2022,0,데이터 제공,populated-and-released,PASS
A-005,산업구조,A · 국가 기본 정보,A.1.a · 사회·경제 현황,true,provided,actual-records,actual,141,141,0,0,0,141,true,true,141,,composition,archetype,country-aggregate,0,World Bank,2025,2025,0,데이터 제공,populated-and-released,PASS
A-006,고용 및 실업,A · 국가 기본 정보,A.1.a · 사회·경제 현황,true,provided,actual-records,actual,120,114,6,0,0,114,true,true,120,,kpi-trend,archetype,country-aggregate,0,World Bank,2024~2025,2025,0,데이터 제공,populated-and-released,PASS
A-007,인구 및 도시화,A · 국가 기본 정보,A.1.a · 사회·경제 현황,true,provided,actual-records,actual,263,263,0,0,0,263,true,true,263,,kpi-trend,archetype,country-aggregate,0,World Bank,2025,2025,0,데이터 제공,populated-and-released,PASS
A-008,소득 불평등(지니계수),A · 국가 기본 정보,A.1.a · 사회·경제 현황,true,provided,actual-records,actual,31,13,18,0,0,13,true,true,31,,score-benchmark,archetype,country-aggregate,0,World Bank,2022,2022,0,데이터 제공,populated-and-released,PASS
A-009,온실가스 배출집약도,A · 국가 기본 정보,A.1.b · GHG 배출 현황,true,provided,actual-records,actual,90,90,0,0,0,90,true,true,90,,kpi-trend,archetype,country-aggregate,0,"European Commission, Joint Research Centre (JRC) — EDGAR",2024,2024,0,데이터 제공,populated-and-released,PASS
A-010,온실가스 종류별 배출량,A · 국가 기본 정보,A.1.b · GHG 배출 현황,true,provided,actual-records,actual,400,400,0,0,0,400,true,true,290,,composition,archetype,country-aggregate,0,"European Commission, Joint Research Centre (JRC) — EDGAR | European Commission, Joint Research Centre (JRC) — IEA-EDGAR CO2",2024,2024,0,데이터 제공,populated-and-released,PASS
A-011,부문별 온실가스 배출량,A · 국가 기본 정보,A.1.b · GHG 배출 현황,true,provided,actual-records,actual,495,495,0,0,0,495,true,true,495,,composition,archetype,country-aggregate,0,"European Commission, Joint Research Centre (JRC) — EDGAR",2024,2024,0,데이터 제공,populated-and-released,PASS
A-012,온실가스 총배출량,A · 국가 기본 정보,A.1.b · GHG 배출 현황,true,provided,actual-records,actual,103,103,0,0,0,103,true,true,103,,kpi-trend,archetype,country-aggregate,0,"European Commission, Joint Research Centre (JRC) — EDGAR | World Bank",2023~2024,2024,0,데이터 제공,populated-and-released,PASS
A-013,NDC와 지속가능발전목표 연계,A · 국가 기본 정보,A.1.c · SDG,true,provided,actual-records,actual,41,41,0,365,365,406,true,false,0,원자료 이용조건에 따라 화면 열람만 제공,evidence-matrix,archetype,country-aggregate,0,World Resources Institute — Climate Watch,2016,2016,0,데이터 제공,populated-and-released,PASS
A-014,지속가능발전목표 지수,A · 국가 기본 정보,A.1.c · SDG,true,provided,actual-records,actual,494,479,15,0,0,479,true,false,0,원자료 이용조건에 따라 화면 열람만 제공,score-benchmark,archetype,country-aggregate,0,Sustainable Development Solutions Network (SDSN),2025,2025,0,데이터 제공,populated-and-released,PASS
A-015,지속가능발전목표 세부 달성도,A · 국가 기본 정보,A.1.c · SDG,true,provided,actual-records,actual,101,99,2,0,0,99,true,false,0,원자료 이용조건에 따라 화면 열람만 제공,evidence-matrix,archetype,country-aggregate,0,Sustainable Development Solutions Network (SDSN),2011~2026,2026,0,데이터 제공,populated-and-released,PASS
A-016,1차 에너지 소비구조,A · 국가 기본 정보,A.2.a · 에너지·전력 정보,true,provided,actual-records,actual,427,427,0,0,0,427,true,false,0,원자료 이용조건에 따라 화면 열람만 제공,composition,archetype,country-aggregate,0,Energy Institute,2025,2025,0,데이터 제공,populated-and-released,PASS
A-017,발전원별 균등화 발전비용,A · 국가 기본 정보,A.2.a · 에너지·전력 정보,true,provided,actual-records,actual,72,72,0,0,0,72,true,false,0,원자료 이용조건에 따라 화면 열람만 제공,category-comparison,archetype,country-aggregate,0,BloombergNEF,2023,2050,0,데이터 제공,populated-and-released,PASS
A-018,발전설비 용량,A · 국가 기본 정보,A.2.a · 에너지·전력 정보,true,provided,actual-records,actual,676,472,204,0,0,472,true,false,0,원자료 이용조건에 따라 화면 열람만 제공,composition,archetype,country-aggregate,0,International Renewable Energy Agency (IRENA),2025,2025,0,데이터 제공,populated-and-released,PASS
A-019,송배전 손실률,A · 국가 기본 정보,A.2.a · 에너지·전력 정보,true,provided,actual-records,actual,34,34,0,0,0,34,true,true,34,,kpi-trend,archetype,country-aggregate,0,World Bank,2023,2023,0,데이터 제공,populated-and-released,PASS
A-020,재생에너지 비중,A · 국가 기본 정보,A.2.a · 에너지·전력 정보,true,provided,actual-records,actual,52,50,2,0,0,50,true,false,0,원자료 이용조건에 따라 화면 열람만 제공,kpi-trend,archetype,country-aggregate,0,International Renewable Energy Agency (IRENA),2023~2025,2025,0,데이터 제공,populated-and-released,PASS
A-021,전력 접근률,A · 국가 기본 정보,A.2.a · 에너지·전력 정보,true,provided,actual-records,actual,84,84,0,0,0,84,true,true,84,,kpi-trend,archetype,country-aggregate,0,World Bank,2024,2024,0,데이터 제공,populated-and-released,PASS
A-022,정전 빈도와 지속시간,A · 국가 기본 정보,A.2.a · 에너지·전력 정보,true,provided,actual-records,actual,54,39,15,0,0,39,true,false,0,원자료 이용조건에 따라 화면 열람만 제공,kpi-trend,archetype,country-aggregate,0,Vietnam Electricity (EVN),2025~2026,2026,0,데이터 제공,populated-and-released,PASS
A-023,발전소 현황,A · 국가 기본 정보,A.2.b · 에너지·전력 GIS 공간정보,true,provided,actual-records,actual,0,0,0,1963,1963,1963,true,true,236,,spatial-summary,archetype,cluster,1889,OpenStreetMap contributors | World Resources Institute,2021~2026,2026,0,데이터 제공,populated-and-released,PASS
A-024,베트남 송전망,A · 국가 기본 정보,A.2.b · 에너지·전력 GIS 공간정보,true,provided,actual-records,actual,40,40,0,722,722,762,true,true,762,,spatial-summary,archetype,line,606,World Bank (ENERGYDATA.INFO),2016~2026,2024,0,데이터 제공,populated-and-released,PASS
