요소_id,indicator_id,country_iso3,record_key,name,lat,lon,geometry_type,crs,geometry_ref,class,size_value,size_unit,year,owner,adm1_name,coordinate_quality,tech_id,record_source_url,missing_reason_code,note,source_record
A-023,A-023_power_plant_registry,VNM,WRI1030845,Kon Dao,14.6967,107.8258,point,EPSG:4326,,Hydro,1.0,MW,1984,,Quảng Ngãi,,,https://data.opendevelopmentmekong.net/vi/library_record/kon-dao-hydropower,,[수력 기술 (Hydropower)] [발전소ID: WRI1030845] 명칭: Kon Dao · 주연료: Hydro · 준공연도: 1984.0 · 소유자: 미기재 · 출처: Open Development Vietnam · 좌표출처: Open Development Vietnam,v124-a-023-entity-00001
A-023,A-023_power_plant_registry,VNM,WRI1030735,Lap Vo Rice Husk Power Plant,10.3492,105.57,point,EPSG:4326,,Biomass,10.0,MW,,,Đồng Tháp,,,https://cdm.unfccc.int/Projects/DB/TUEV-SUED1268324091.74/view,,[바이오에너지 기술 (Bioenergy)] [발전소ID: WRI1030735] 명칭: Lap Vo Rice Husk Power Plant · 주연료: Biomass · 준공연도: 미기재 · 소유자: 미기재 · 출처: CDM · 좌표출처: CDM,v124-a-023-entity-00004
A-023,A-023_power_plant_registry,VNM,WKS0072751,Mai Sơn,21.271,104.065,point,EPSG:4326,,Solar,10.0,MW,,,Sơn La,,,https://www.wiki-solar.org,,[태양광 기술 (Photovoltaics)] [발전소ID: WKS0072751] 명칭: Mai Sơn · 주연료: Solar · 준공연도: 미기재 · 소유자: 미기재 · 출처: Wiki-Solar · 좌표출처: Wiki-Solar,v124-a-023-entity-00008
A-023,A-023_power_plant_registry,VNM,WRI1030760,Ninh Binh,20.2527,105.98,point,EPSG:4326,,Coal,100.0,MW,,Vietnam Electricity (EVN),Ninh Bình,,,http://www.evn.com.vn/userfile/files/2017/3/AnnualReport2016.pdf,,[발전효율 기술 (Power generation efficiency)] [발전소ID: WRI1030760] 명칭: Ninh Binh · 주연료: Coal · 준공연도: 미기재 · 소유자: Vietnam Electricity (EVN) · 출처: Vietnam Electricity Annual Report · 좌표출처: WRI,v124-a-023-entity-00011
A-023,A-023_power_plant_registry,VNM,WRI1030742,Phu My 1,10.6056,107.04,point,EPSG:4326,,Gas,1108.0,MW,,Vietnam Electricity (EVN),Hồ Chí Minh,,,http://www.evn.com.vn/userfile/files/2017/3/AnnualReport2016.pdf,,[발전효율 기술 (Power generation efficiency)] [발전소ID: WRI1030742] 명칭: Phu My 1 · 주연료: Gas · 준공연도: 미기재 · 소유자: Vietnam Electricity (EVN) · 출처: Vietnam Electricity Annual Report · 좌표출처: WRI,v124-a-023-entity-00017
A-023,A-023_power_plant_registry,VNM,WRI1030748,Amata,10.9471,106.9,point,EPSG:4326,,Oil,13.0,MW,,,Đồng Nai,,,http://www.evn.com.vn/userfile/files/2017/3/AnnualReport2016.pdf,,[발전효율 기술 (Power generation efficiency)] [발전소ID: WRI1030748] 명칭: Amata · 주연료: Oil · 준공연도: 미기재 · 소유자: 미기재 · 출처: Vietnam Electricity Annual Report · 좌표출처: WRI,v124-a-023-entity-00034
A-023,A-023_power_plant_registry,VNM,WRI1030755,Phuong Mai 3,13.9077,109.26,point,EPSG:4326,,Wind,21.0,MW,2017,Central Wind power Joint Stock Company,Gia Lai,,,https://cdm.unfccc.int/Projects/DB/ICONTEC1347544560.36/view,,[풍력 기술 (Wind power)] [발전소ID: WRI1030755] 명칭: Phuong Mai 3 · 주연료: Wind · 준공연도: 2017.0 · 소유자: Central Wind power Joint Stock Company · 출처: CDM · 좌표출처: CDM,v124-a-023-entity-00090
A-023,A-023_power_plant_registry,VNM,WRI1030824,Ia Drang 2,13.7389,107.8508,point,EPSG:4326,,Hydro,1.2,MW,,Gia Lai Electricity JSC.,Gia Lai,,,https://data.opendevelopmentmekong.net/vi/library_record/ia-drang-2-hydropower,,[수력 기술 (Hydropower)] [발전소ID: WRI1030824] 명칭: Ia Drang 2 · 주연료: Hydro · 준공연도: 미기재 · 소유자: Gia Lai Electricity JSC. · 출처: Open Development Vietnam · 좌표출처: Open Development Vietnam,v124-a-023-entity-00002
A-023,A-023_power_plant_registry,VNM,WRI1030903,Ho Nui Coc,21.5565,105.73,point,EPSG:4326,,Hydro,1.89,MW,2009,Nui Coc Lake Hydropower JSC.,Thái Nguyên,,,https://data.opendevelopmentmekong.net/vi/library_record/ho-nui-coc-hydropower,,[수력 기술 (Hydropower)] [발전소ID: WRI1030903] 명칭: Ho Nui Coc · 주연료: Hydro · 준공연도: 2009.0 · 소유자: Nui Coc Lake Hydropower JSC. · 출처: Open Development Vietnam · 좌표출처: Open Development Vietnam,v124-a-023-entity-00003
A-023,A-023_power_plant_registry,VNM,WRI1030779,Dai Nga,11.4219,107.8754,point,EPSG:4326,,Hydro,10.0,MW,2015,Thac Mo Hydropower JSC.,Lâm Đồng,,,https://data.opendevelopmentmekong.net/vi/library_record/dai-nga-hydropower,,[수력 기술 (Hydropower)] [발전소ID: WRI1030779] 명칭: Dai Nga · 주연료: Hydro · 준공연도: 2015.0 · 소유자: Thac Mo Hydropower JSC. · 출처: Open Development Vietnam · 좌표출처: Open Development Vietnam,v124-a-023-entity-00005
